Station_ID,Station_Name,Location_Label,Interval_Minutes,Interval_End_Time,Wind_Velocity_Mtr_Sec,Wind_Direction_Variance_Deg,Wind_Direction_Deg,Ambient_Temperature_Deg_C,Global_Horizontal_Irradiance
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 07:50,0.979,40.31,57.69,6.297,0.706
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 07:55,1.231,39.33,77.32,6.422,0.827
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 08:00,1.484,24.17,67.08,6.662,1.158
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 08:05,1.152,38.79,66.46,6.853,1.081
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 08:10,1.201,35.6,74.89,6.994,0.925
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 08:20,0.602,34.37,47.86,7.516,0.979
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 08:25,0.958,39.45,49,7.801,1.267
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 08:30,1.27,57.23,98,7.545,1.321
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 08:35,0.954,43.2,89,7.622,1.09
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 08:40,0.356,31.62,42,8.19,1.664
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 08:45,0.186,28.68,70.09,8.65,2.079
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 08:50,1.279,40.4,57.82,8.79,2.73
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 08:55,1.425,26.49,74.21,8.04,2.488
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 09:00,1.12,30.35,65.58,8.27,2.531
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 09:05,0.594,29.88,50.38,8.33,5.55
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 09:10,1.33,25.66,29.4,9.06,32.69
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 09:15,1.199,22.95,62.31,8.71,42.81
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 09:20,0.704,26.89,52.97,8.81,44.03
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 09:25,1.019,26.38,62.81,8.89,43.25
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 09:30,0.548,60.7,65.42,9.35,42.91
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 09:35,0.564,61.24,232.4,9.66,23.86
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 09:40,0.802,20.09,176.8,9.76,22.56
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 09:45,0.917,35.83,160.1,9.69,19.21
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 09:50,0.842,38.47,177.3,9.76,24.31
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 09:55,1.111,54.71,67.87,10.08,27.76
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 10:00,1.108,69.7,183.7,10.11,25.35
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 10:05,1.344,48.3,43.19,10.11,24.09
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 10:10,1.138,33.56,31.55,10.42,24.7
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 10:15,0.994,16.62,25.92,11.28,23.49
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 10:20,1.114,25.43,25.31,11.44,22.63
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 10:25,1.017,24.27,42.46,11.38,22.42
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 10:30,1.312,32.45,54.01,11.17,24.85
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 10:35,1.738,30.64,44.45,11.01,24.36
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 10:40,0.899,44.6,43.96,11.26,26.64
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 10:45,1.512,57.94,86.1,11.05,25.73
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 10:50,1.198,32.46,34.61,11.11,26.1
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 10:55,1.741,41.38,74.18,11.04,28.07
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 11:00,0.876,32.02,67.91,10.95,27.99
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 11:05,1.8,23.8,7.095,11.84,42.41
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 11:10,2.793,20.93,22.37,11.5,41.49
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 11:15,2.918,28.86,40,10.96,41.33
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 11:20,1.892,36.01,55.42,10.89,42.99
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 11:25,1.852,26.71,39.9,11.39,41.58
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 11:30,2.325,35.78,25.73,11.68,40.22
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 11:35,2.887,26.17,32.71,11.71,39.26
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 11:40,3.323,31.02,40.76,11.24,33.36
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 11:45,3.02,35.94,62.29,10.84,29.99
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 11:50,2.66,44.01,74.86,10.65,27.14
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 11:55,2.291,39.34,57.37,11.01,21.85
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 12:00,2.96,36.84,58.95,10.81,22.05
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 12:05,2.185,62.76,40.02,11.02,21.45
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 12:10,2.154,31.2,50.24,11.06,20.69
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 12:15,2.17,50.83,42.8,11.41,19.17
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 12:20,2.235,30.47,37.36,11.44,21.05
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 12:25,2.226,37.9,48.3,11.44,21.19
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 12:30,2.634,34.51,42.02,11.55,21.17
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 12:35,2.924,36.98,56.49,11.26,20.54
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 12:40,3.07,39.17,63.01,11.25,21.14
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 12:45,2.595,35.8,38.91,11.52,21.58
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 12:50,2.583,24.78,32.71,11.9,21.19
